Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
40063,0.635,-0.17931,4.23E-11,-3.46E-12,-1.90E-09
40062,0.635,-0.2092,6.25E-11,-2.09E-11,-2.31E-09
40060,0.635,-0.26897,7.14E-11,-9.52E-12,-3.40E-09
39735,0.64,-1.7632,-2.71E-12,3.39E-12,3.27E-10
39987,0.635,-2.4506,-7.83E-13,2.50E-12,1.70E-10
39712,0.64,-2.4506,-2.88E-12,1.92E-12,1.69E-10
31759,0.6375,-2.4356,-1.83E-12,2.38E-12,1.77E-10
39756,0.64,-1.1356,-1.10E-11,4.46E-12,-4.63E-10
31901,0.6375,-1.4494,-4.61E-12,1.27E-12,2.05E-10
40020,0.635,-1.4644,-5.01E-12,9.14E-13,2.17E-10
31858,0.6375,-1.7483,-2.70E-12,1.65E-12,3.28E-10
40010,0.635,-1.7632,-1.46E-12,3.66E-13,3.27E-10
31795,0.6375,-2.1966,-1.82E-12,1.93E-12,2.64E-10
39995,0.635,-2.2115,-4.55E-14,2.28E-13,2.58E-10
39714,0.64,-2.3908,-1.63E-12,3.27E-12,1.99E-10
39984,0.635,-2.5402,-5.12E-13,2.37E-12,1.19E-10
39740,0.64,-1.6138,-3.28E-12,3.78E-12,3.01E-10
40015,0.635,-1.6138,-2.68E-12,1.18E-12,3.05E-10
39776,0.64,-0.53793,1.47E-11,-5.97E-10,-1.60E-08
39743,0.64,-1.5241,-3.93E-12,3.97E-12,2.61E-10
39768,0.64,-0.77701,-4.34E-11,7.50E-11,-4.33E-09
39758,0.64,-1.0759,-1.25E-11,7.11E-12,-7.19E-10
39753,0.64,-1.2253,-7.88E-12,4.90E-12,-1.60E-10
39723,0.64,-2.1218,-2.14E-12,3.72E-12,2.82E-10
39718,0.64,-2.2713,-1.90E-12,3.88E-12,2.41E-10
39728,0.64,-1.9724,-2.26E-12,3.73E-12,3.13E-10
39733,0.64,-1.823,-2.60E-12,3.81E-12,3.28E-10
39763,0.64,-0.92644,-2.50E-11,1.53E-11,-1.84E-09
39773,0.64,-0.62759,-8.30E-11,1.88E-09,-1.66E-08
39778,0.64,-0.47816,1.37E-10,-1.82E-10,-1.19E-08
31753,0.6375,-2.4655,-1.65E-12,2.46E-12,1.64E-10
39713,0.64,-2.4207,-3.04E-12,3.10E-12,1.83E-10
31775,0.6375,-2.346,-2.17E-12,1.76E-12,2.17E-10
39991,0.635,-2.331,-3.60E-13,1.31E-12,2.21E-10
31778,0.6375,-2.3161,-2.20E-12,1.62E-12,2.27E-10
39992,0.635,-2.3011,-4.11E-13,1.29E-12,2.30E-10
31783,0.6375,-2.2862,-2.21E-12,1.62E-12,2.37E-10
39993,0.635,-2.2713,-4.61E-13,5.70E-13,2.39E-10
39994,0.635,-2.2414,-6.81E-13,1.00E-12,2.53E-10
31790,0.6375,-2.2264,-2.25E-12,1.52E-12,2.54E-10
39999,0.635,-2.092,-1.26E-12,4.21E-13,2.90E-10
