Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
40064,0.635,-0.14943,-1.35E-05,1.10E-04,-1.52E-03
40063,0.635,-0.17931,-1.40E-06,3.49E-05,-1.58E-03
40062,0.635,-0.2092,5.45E-06,1.27E-05,-1.57E-03
40060,0.635,-0.26897,-1.41E-06,5.30E-05,-1.63E-03
39735,0.64,-1.7632,-2.90E-05,1.02E-04,-7.15E-04
39987,0.635,-2.4506,-1.16E-05,9.86E-05,8.81E-04
39712,0.64,-2.4506,-4.26E-05,6.92E-05,8.89E-04
31759,0.6375,-2.4356,-2.57E-05,8.15E-05,8.37E-04
39756,0.64,-1.1356,-2.98E-05,1.01E-04,-1.41E-03
31901,0.6375,-1.4494,-2.15E-05,5.72E-05,-1.14E-03
40020,0.635,-1.4644,-4.53E-06,1.93E-05,-1.11E-03
31858,0.6375,-1.7483,-2.13E-05,5.99E-05,-7.44E-04
40010,0.635,-1.7632,-3.57E-06,1.98E-05,-7.10E-04
31795,0.6375,-2.1966,-2.03E-05,6.67E-05,1.68E-04
39995,0.635,-2.2115,1.76E-08,2.26E-05,2.15E-04
39714,0.64,-2.3908,-2.92E-05,1.30E-04,7.26E-04
39984,0.635,-2.5402,-3.69E-06,1.29E-04,1.02E-03
39740,0.64,-1.6138,-2.85E-05,1.08E-04,-9.34E-04
40015,0.635,-1.6138,-6.03E-06,3.80E-05,-9.35E-04
39776,0.64,-0.53793,-3.08E-05,8.46E-05,-1.63E-03
39743,0.64,-1.5241,-2.87E-05,1.12E-04,-1.04E-03
39768,0.64,-0.77701,-2.85E-05,1.05E-04,-1.58E-03
39758,0.64,-1.0759,-2.89E-05,1.07E-04,-1.44E-03
39753,0.64,-1.2253,-2.89E-05,1.08E-04,-1.33E-03
39723,0.64,-2.1218,-2.84E-05,1.28E-04,-1.14E-05
39718,0.64,-2.2713,-2.75E-05,1.39E-04,3.82E-04
