Node Number,X Location (m),Y Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39788,0.64,0,-0.17931,1.18E-12,-2.15E-12,7.20E-11
39782,0.64,0,-0.35862,1.47E-12,-1.58E-12,7.56E-11
39772,0.64,0,-0.65747,2.67E-12,-1.44E-12,-1.12E-11
39722,0.64,0,-2.1517,-1.67E-11,2.15E-12,-1.47E-09
39990,0.635,0,-2.3609,-1.31E-11,-3.90E-13,-4.99E-10
31771,0.6375,0,-2.3759,-6.02E-12,-1.81E-12,-4.37E-10
39989,0.635,0,-2.3908,-1.02E-11,1.38E-12,-3.89E-10
39715,0.64,0,-2.3609,-5.93E-12,6.78E-14,-4.83E-10
39738,0.64,0,-1.6736,2.60E-10,-4.37E-09,-1.95E-08
39739,0.64,0,-1.6437,1.18E-10,-5.72E-10,-1.38E-08
40013,0.635,0,-1.6736,-2.88E-10,-7.59E-10,-2.21E-08
39762,0.64,0,-0.95632,6.40E-12,-1.55E-12,-4.01E-10
39732,0.64,0,-1.8529,-7.32E-11,3.47E-11,-6.41E-09
39781,0.64,0,-0.38851,1.54E-12,-1.60E-12,7.34E-11
39787,0.64,0,-0.2092,1.12E-12,-1.72E-12,7.45E-11
39785,0.64,0,-0.26897,1.28E-12,-1.62E-12,7.75E-11
39716,0.64,0,-2.331,-7.98E-12,1.29E-12,-5.72E-10
32050,0.6375,0,-0.37356,1.44E-12,-5.82E-13,7.47E-11
40057,0.635,0,-0.35862,1.14E-12,-5.92E-13,7.62E-11
40014,0.635,0,-1.6437,2.44E-10,-1.93E-10,-1.35E-08
40061,0.635,0,-0.23908,7.19E-13,-6.37E-13,7.67E-11
39786,0.64,0,-0.23908,1.27E-12,-1.71E-12,7.64E-11
39777,0.64,0,-0.50805,1.91E-12,-1.48E-12,5.21E-11
39767,0.64,0,-0.8069,4.00E-12,-1.53E-12,-1.44E-10
39757,0.64,0,-1.1057,1.09E-11,-1.55E-12,-8.84E-10
39742,0.64,0,-1.554,8.94E-11,-3.97E-11,-7.80E-09
39727,0.64,0,-2.0023,-3.25E-11,5.54E-12,-3.02E-09
39717,0.64,0,-2.3011,-9.09E-12,1.49E-12,-6.81E-10
39779,0.64,0,-0.44828,1.68E-12,-1.43E-12,6.56E-11
39780,0.64,0,-0.41839,1.63E-12,-1.64E-12,6.97E-11
32041,0.6375,0,-0.43333,1.34E-12,-1.48E-27,6.78E-11
40055,0.635,0,-0.41839,1.54E-12,-2.89E-13,6.99E-11
39774,0.64,0,-0.5977,2.29E-12,-1.49E-12,2.11E-11
39775,0.64,0,-0.56782,2.17E-12,-1.70E-12,3.27E-11
32019,0.6375,0,-0.58276,2.04E-12,-1.33E-27,2.70E-11
40050,0.635,0,-0.56782,2.46E-12,-1.95E-13,3.18E-11
39769,0.64,0,-0.74713,3.40E-12,-1.97E-12,-7.85E-11
39770,0.64,0,-0.71724,3.08E-12,-1.68E-12,-5.39E-11
32000,0.6375,0,-0.73218,3.28E-12,1.59E-26,-6.55E-11
40045,0.635,0,-0.71724,4.27E-12,-6.38E-13,-5.38E-11
39764,0.64,0,-0.89655,5.21E-12,-1.97E-12,-2.76E-10
39765,0.64,0,-0.86667,4.71E-12,-1.87E-12,-2.28E-10
31979,0.6375,0,-0.88161,5.54E-12,1.22E-26,-2.51E-10
40040,0.635,0,-0.86667,7.30E-12,-1.02E-12,-2.29E-10
39759,0.64,0,-1.046,8.59E-12,-2.70E-12,-6.50E-10
39760,0.64,0,-1.0161,7.64E-12,-2.10E-12,-5.60E-10
31960,0.6375,0,-1.031,9.60E-12,-1.47E-26,-6.03E-10
40035,0.635,0,-1.0161,1.28E-11,-1.72E-12,-5.61E-10
39754,0.64,0,-1.1954,1.50E-11,-4.10E-12,-1.35E-09
39755,0.64,0,-1.1655,1.32E-11,-2.72E-12,-1.18E-09
31938,0.6375,0,-1.1805,1.71E-11,-1.03E-25,-1.27E-09
40030,0.635,0,-1.1655,2.30E-11,-3.02E-12,-1.19E-09
39749,0.64,0,-1.3448,2.71E-11,-5.90E-12,-2.68E-09
39750,0.64,0,-1.3149,2.42E-11,-6.20E-12,-2.38E-09
31916,0.6375,0,-1.3299,3.18E-11,5.84E-26,-2.55E-09
40025,0.635,0,-1.3149,4.34E-11,-5.63E-12,-2.38E-09
39729,0.64,0,-1.9425,-4.44E-11,1.33E-11,-4.07E-09
39730,0.64,0,-1.9126,-5.18E-11,1.35E-11,-4.67E-09
31833,0.6375,0,-1.9276,-5.33E-11,-8.10E-25,-4.35E-09
40005,0.635,0,-1.9126,-1.01E-10,2.06E-11,-4.69E-09
39724,0.64,0,-2.092,-2.19E-11,4.66E-12,-1.98E-09
39725,0.64,0,-2.0621,-2.47E-11,2.99E-12,-2.26E-09
31812,0.6375,0,-2.077,-2.64E-11,-7.47E-26,-2.12E-09
40000,0.635,0,-2.0621,-4.80E-11,9.09E-12,-2.27E-09
39771,0.64,0,-0.68736,2.90E-12,-1.55E-12,-3.03E-11
39766,0.64,0,-0.83678,4.41E-12,-1.52E-12,-1.82E-10
39761,0.64,0,-0.98621,7.17E-12,-1.54E-12,-4.73E-10
39751,0.64,0,-1.2851,2.24E-11,-2.15E-12,-2.06E-09
39746,0.64,0,-1.4345,4.51E-11,-6.30E-12,-4.17E-09
39744,0.64,0,-1.4943,6.98E-11,-2.90E-11,-5.66E-09
39741,0.64,0,-1.5839,1.10E-10,-7.73E-11,-9.25E-09
39736,0.64,0,-1.7333,-2.03E-10,2.63E-09,-1.71E-08
39734,0.64,0,-1.7931,-1.27E-10,1.75E-10,-9.25E-09
39731,0.64,0,-1.8828,-6.17E-11,2.17E-11,-5.48E-09
39726,0.64,0,-2.0322,-2.84E-11,4.33E-12,-2.62E-09
39721,0.64,0,-2.1816,-1.48E-11,1.96E-12,-1.28E-09
39719,0.64,0,-2.2414,-1.33E-11,3.55E-12,-9.42E-10
39720,0.64,0,-2.2115,-1.25E-11,4.69E-13,-1.09E-09
39737,0.64,0,-1.7034,9.25E-10,8.08E-09,-3.34E-08
39745,0.64,0,-1.4644,5.41E-11,-1.11E-11,-4.87E-09
39747,0.64,0,-1.4046,3.91E-11,-8.14E-12,-3.63E-09
39752,0.64,0,-1.2552,1.87E-11,-1.14E-12,-1.80E-09
39709,0.64,0,-2.5402,-4.40E-12,4.44E-12,-1.04E-10
39710,0.64,0,-2.5103,-3.43E-12,2.59E-12,-1.46E-10
39985,0.635,0,-2.5103,-6.32E-12,6.29E-13,-1.45E-10
31744,0.6375,0,-2.5253,-2.83E-12,4.91E-13,-1.24E-10
40064,0.635,0,-0.14943,7.28E-13,-1.95E-12,6.86E-11
40063,0.635,0,-0.17931,6.32E-13,-5.91E-13,7.27E-11
40062,0.635,0,-0.2092,4.84E-13,-9.89E-14,7.42E-11
40060,0.635,0,-0.26897,7.88E-13,-8.80E-13,7.82E-11
39735,0.64,0,-1.7632,-1.23E-10,4.20E-10,-1.14E-08
39987,0.635,0,-2.4506,-6.94E-12,1.63E-12,-2.50E-10
39712,0.64,0,-2.4506,-2.34E-12,7.94E-13,-2.45E-10
31759,0.6375,0,-2.4356,-4.75E-12,2.30E-13,-2.83E-10
39756,0.64,0,-1.1356,1.16E-11,-8.08E-13,-1.01E-09
31901,0.6375,0,-1.4494,5.45E-11,1.01E-11,-4.53E-09
40020,0.635,0,-1.4644,9.81E-11,-1.28E-11,-4.85E-09
31858,0.6375,0,-1.7483,-9.18E-11,5.33E-10,-1.35E-08
40010,0.635,0,-1.7632,-2.36E-10,1.85E-10,-1.17E-08
31795,0.6375,0,-2.1966,-1.37E-11,-2.23E-12,-1.18E-09
39995,0.635,0,-2.2115,-2.58E-11,4.11E-12,-1.09E-09
39714,0.64,0,-2.3908,-6.18E-12,2.22E-12,-3.96E-10
39984,0.635,0,-2.5402,-4.85E-12,3.39E-12,-9.52E-11
39740,0.64,0,-1.6138,1.33E-10,-2.02E-10,-1.12E-08
40015,0.635,0,-1.6138,2.22E-10,-1.06E-10,-1.16E-08
39776,0.64,0,-0.53793,2.00E-12,-1.36E-12,4.37E-11
39743,0.64,0,-1.5241,7.31E-11,-2.99E-11,-6.67E-09
39768,0.64,0,-0.77701,3.60E-12,-1.85E-12,-1.12E-10
39758,0.64,0,-1.0759,9.57E-12,-2.31E-12,-7.69E-10
39753,0.64,0,-1.2253,1.67E-11,-3.12E-12,-1.58E-09
39723,0.64,0,-2.1218,-1.67E-11,3.12E-12,-1.69E-09
39718,0.64,0,-2.2713,-1.03E-11,1.98E-12,-7.96E-10
39728,0.64,0,-1.9724,-3.77E-11,9.33E-12,-3.46E-09
39733,0.64,0,-1.823,-9.00E-11,8.52E-11,-7.55E-09
39763,0.64,0,-0.92644,6.27E-12,-1.89E-12,-3.39E-10
39773,0.64,0,-0.62759,2.57E-12,-1.77E-12,4.96E-12
39778,0.64,0,-0.47816,1.82E-12,-1.81E-12,5.91E-11
31753,0.6375,0,-2.4655,-4.56E-12,-2.23E-13,-2.22E-10
39713,0.64,0,-2.4207,-2.38E-12,2.96E-13,-3.12E-10
31775,0.6375,0,-2.346,-4.92E-12,-2.74E-12,-5.26E-10
39991,0.635,0,-2.331,-1.46E-11,-3.23E-13,-5.79E-10
31778,0.6375,0,-2.3161,-5.42E-12,-2.65E-12,-6.27E-10
39992,0.635,0,-2.3011,-1.66E-11,-4.50E-13,-6.87E-10
31783,0.6375,0,-2.2862,-6.04E-12,-3.05E-12,-7.42E-10
39993,0.635,0,-2.2713,-1.72E-11,1.21E-12,-7.95E-10
39994,0.635,0,-2.2414,-2.15E-11,2.31E-12,-9.70E-10
31790,0.6375,0,-2.2264,-7.62E-12,-3.85E-12,-1.01E-09
39999,0.635,0,-2.092,-3.81E-11,9.15E-12,-2.01E-09
31799,0.6375,0,-2.1667,-9.71E-12,-5.31E-12,-1.37E-09
39997,0.635,0,-2.1517,-3.08E-11,-1.12E-12,-1.50E-09
31803,0.6375,0,-2.1368,-1.09E-11,-6.11E-12,-1.59E-09
39998,0.635,0,-2.1218,-3.24E-11,2.38E-12,-1.69E-09
40004,0.635,0,-1.9425,-7.80E-11,1.98E-11,-4.12E-09
31820,0.6375,0,-2.0172,-1.84E-11,-1.03E-11,-2.81E-09
40002,0.635,0,-2.0023,-6.11E-11,-2.01E-12,-3.07E-09
31825,0.6375,0,-1.9874,-2.09E-11,-1.15E-11,-3.25E-09
40003,0.635,0,-1.9724,-6.42E-11,4.91E-12,-3.45E-09
31840,0.6375,0,-1.8678,-3.90E-11,-1.76E-11,-5.92E-09
40007,0.635,0,-1.8529,-1.39E-10,4.91E-12,-6.54E-09
31845,0.6375,0,-1.8379,-4.55E-11,-1.59E-11,-7.00E-09
40008,0.635,0,-1.823,-1.46E-10,2.15E-11,-7.55E-09
40009,0.635,0,-1.7931,-2.04E-10,9.98E-11,-9.63E-09
31853,0.6375,0,-1.7782,-5.44E-11,3.85E-11,-1.03E-08
31863,0.6375,0,-1.7184,5.89E-10,4.11E-09,-2.72E-08
40012,0.635,0,-1.7034,-6.69E-10,2.76E-09,-5.05E-08
31875,0.6375,0,-1.6287,5.92E-11,-5.53E-11,-1.24E-08
31884,0.6375,0,-1.569,5.70E-11,1.92E-11,-8.49E-09
40017,0.635,0,-1.554,1.73E-10,-8.36E-12,-7.69E-09
31888,0.6375,0,-1.5391,4.85E-11,2.10E-11,-7.16E-09
40018,0.635,0,-1.5241,1.42E-10,-1.51E-11,-6.57E-09
40019,0.635,0,-1.4943,1.26E-10,-1.73E-11,-5.53E-09
31896,0.6375,0,-1.4793,3.46E-11,1.58E-11,-5.23E-09
31904,0.6375,0,-1.4195,2.56E-11,1.32E-11,-3.89E-09
40022,0.635,0,-1.4046,7.10E-11,-9.84E-12,-3.62E-09
39748,0.64,0,-1.3747,2.53E-11,4.58E-12,-3.17E-09
40023,0.635,0,-1.3747,5.46E-11,1.67E-11,-3.08E-09
40024,0.635,0,-1.3448,5.70E-11,9.10E-12,-2.71E-09
40029,0.635,0,-1.1954,3.08E-11,-6.29E-12,-1.34E-09
31926,0.6375,0,-1.2701,1.33E-11,6.95E-12,-1.93E-09
40027,0.635,0,-1.2552,3.69E-11,5.27E-13,-1.78E-09
31930,0.6375,0,-1.2402,1.18E-11,5.88E-12,-1.68E-09
40028,0.635,0,-1.2253,3.17E-11,-2.50E-12,-1.56E-09
40034,0.635,0,-1.046,1.66E-11,-3.46E-12,-6.42E-10
31947,0.6375,0,-1.1207,7.49E-12,3.01E-12,-9.50E-10
40032,0.635,0,-1.1057,1.98E-11,7.04E-14,-8.65E-10
31952,0.6375,0,-1.0908,6.87E-12,2.87E-12,-8.19E-10
40033,0.635,0,-1.0759,1.72E-11,-1.43E-12,-7.57E-10
40039,0.635,0,-0.89655,9.17E-12,-1.98E-12,-2.71E-10
31967,0.6375,0,-0.97126,4.69E-12,1.46E-12,-4.36E-10
40037,0.635,0,-0.95632,1.09E-11,-1.29E-13,-3.94E-10
31972,0.6375,0,-0.94138,4.30E-12,1.29E-12,-3.66E-10
40038,0.635,0,-0.92644,9.58E-12,-7.90E-13,-3.34E-10
40044,0.635,0,-0.74713,5.03E-12,-1.21E-12,-7.59E-11
31988,0.6375,0,-0.82184,3.10E-12,4.37E-13,-1.63E-10
40042,0.635,0,-0.8069,6.18E-12,-4.24E-13,-1.41E-10
31992,0.6375,0,-0.79195,2.89E-12,3.46E-13,-1.26E-10
40043,0.635,0,-0.77701,5.43E-12,-5.91E-13,-1.09E-10
40049,0.635,0,-0.5977,2.78E-12,-7.32E-13,2.24E-11
32008,0.6375,0,-0.67241,2.24E-12,-6.48E-14,-2.04E-11
40047,0.635,0,-0.65747,3.53E-12,-4.70E-13,-9.35E-12
32012,0.6375,0,-0.64253,2.12E-12,-1.22E-13,-2.08E-12
40048,0.635,0,-0.62759,3.12E-12,-3.88E-13,5.32E-12
39790,0.64,0,-0.11954,1.20E-12,-1.84E-12,6.38E-11
40065,0.635,0,-0.11954,2.18E-13,-8.37E-13,6.38E-11
32085,0.6375,0,-0.13448,9.40E-13,-8.41E-13,6.64E-11
32089,0.6375,0,-0.1046,7.93E-13,-1.65E-12,6.16E-11
39791,0.64,0,-8.97E-02,1.62E-12,-1.67E-12,5.54E-11
40054,0.635,0,-0.44828,1.48E-12,-5.14E-13,6.63E-11
32028,0.6375,0,-0.52299,1.74E-12,-3.76E-13,4.80E-11
40052,0.635,0,-0.50805,2.04E-12,-5.55E-13,5.30E-11
32033,0.6375,0,-0.4931,1.67E-12,-4.30E-13,5.61E-11
40053,0.635,0,-0.47816,1.81E-12,-3.30E-13,5.87E-11
40056,0.635,0,-0.38851,1.27E-12,-6.14E-13,7.43E-11
39783,0.64,0,-0.32874,1.45E-12,-1.76E-12,7.71E-11
32055,0.6375,0,-0.34368,1.40E-12,-5.99E-13,7.67E-11
40058,0.635,0,-0.32874,1.17E-12,-1.22E-12,7.75E-11
39784,0.64,0,-0.29885,1.46E-12,-1.86E-12,7.77E-11
40059,0.635,0,-0.29885,9.14E-13,-2.44E-12,7.75E-11
32072,0.6375,0,-0.22414,1.18E-12,-8.98E-13,7.52E-11
32067,0.6375,0,-0.25402,1.21E-12,-9.40E-13,7.68E-11
40066,0.635,0,-8.97E-02,4.59E-13,-1.28E-12,5.74E-11
39986,0.635,0,-2.4805,-6.38E-12,1.55E-12,-1.93E-10
39711,0.64,0,-2.4805,-2.13E-12,9.45E-13,-2.01E-10
39996,0.635,0,-2.1816,-2.72E-11,-6.86E-13,-1.31E-09
40001,0.635,0,-2.0322,-5.28E-11,-1.21E-12,-2.69E-09
31815,0.6375,0,-2.0471,-2.60E-11,-4.38E-12,-2.44E-09
40006,0.635,0,-1.8828,-1.16E-10,2.51E-12,-5.64E-09
31837,0.6375,0,-1.8977,-5.48E-11,-4.72E-12,-5.06E-09
40011,0.635,0,-1.7333,-1.50E-10,2.85E-09,-2.09E-08
31867,0.6375,0,-1.6885,-8.13E-10,-1.30E-08,-3.54E-08
40016,0.635,0,-1.5839,1.99E-10,-1.88E-11,-9.10E-09
31879,0.6375,0,-1.5989,1.28E-10,-2.65E-11,-1.03E-08
40021,0.635,0,-1.4345,8.28E-11,6.17E-13,-4.11E-09
31909,0.6375,0,-1.3897,4.18E-11,1.01E-11,-3.39E-09
40026,0.635,0,-1.2851,4.07E-11,6.32E-13,-2.04E-09
31921,0.6375,0,-1.3,2.66E-11,6.00E-12,-2.23E-09
40031,0.635,0,-1.1356,2.15E-11,-2.18E-13,-1.00E-09
31942,0.6375,0,-1.1506,1.43E-11,2.64E-12,-1.11E-09
40036,0.635,0,-0.98621,1.19E-11,-2.45E-13,-4.65E-10
31964,0.6375,0,-1.0011,8.18E-12,1.00E-12,-5.19E-10
40041,0.635,0,-0.83678,6.74E-12,-4.95E-13,-1.78E-10
31984,0.6375,0,-0.85172,4.89E-12,2.97E-13,-2.06E-10
40046,0.635,0,-0.68736,3.85E-12,-5.16E-13,-2.75E-11
32003,0.6375,0,-0.7023,3.06E-12,-3.97E-13,-4.22E-11
39793,0.64,0,-2.99E-02,3.32E-12,3.27E-13,3.61E-11
39673,0.64,0,0,2.35E-12,-4.82E-25,2.14E-11
40068,0.635,0,-2.99E-02,6.42E-13,-4.05E-12,3.09E-11
39949,0.635,0,0,-1.35E-12,-9.36E-12,6.64E-12
40051,0.635,0,-0.53793,2.22E-12,-5.93E-13,4.49E-11
32023,0.6375,0,-0.55287,2.06E-12,-7.06E-13,3.88E-11
32046,0.6375,0,-0.40345,1.45E-12,-8.87E-13,7.19E-11
39988,0.635,0,-2.4207,-8.99E-12,1.48E-12,-3.18E-10
32080,0.6375,0,-0.16437,1.23E-12,-6.39E-13,7.04E-11
39789,0.64,0,-0.14943,1.47E-12,-4.84E-13,6.87E-11
32094,0.6375,0,-7.47E-02,8.40E-13,-1.53E-12,5.11E-11
40067,0.635,0,-5.98E-02,-1.37E-13,-4.03E-13,4.95E-11
39792,0.64,0,-5.98E-02,1.20E-12,-1.63E-12,4.64E-11
31749,0.6375,0,-2.4954,-4.41E-12,-8.33E-13,-1.69E-10
39708,0.64,0,-2.5701,-2.48E-12,3.47E-12,-6.42E-11
39983,0.635,0,-2.5701,-4.18E-12,2.79E-12,-3.69E-11
39707,0.64,0,-2.6,-2.67E-12,3.40E-25,-2.40E-11
39915,0.635,0,-2.6,-6.28E-12,-4.26E-12,-5.42E-12
31765,0.6375,0,-2.4057,-6.61E-12,0,-3.53E-10
418066,0.63625,0,-2.3684,-9.56E-12,-1.10E-12,-4.68E-10
418069,0.63625,0,-2.3833,-8.09E-12,-2.13E-13,-4.13E-10
421363,0.635,0,-2.3759,-1.16E-11,4.95E-13,-4.44E-10
419993,0.6375,0,-2.3609,-9.52E-12,-1.61E-13,-4.91E-10
418067,0.63875,0,-2.3684,-5.98E-12,-8.69E-13,-4.60E-10
420084,0.64,0,-1.6586,1.89E-10,-2.47E-09,-1.67E-08
420085,0.6375,0,-1.6736,-1.40E-11,-2.57E-09,-2.08E-08
192897,0.6375,0,-1.6586,-8.51E-11,-6.66E-10,-1.80E-08
418925,0.63875,0,-0.36609,1.46E-12,-1.08E-12,7.51E-11
418924,0.63625,0,-0.36609,1.29E-12,-5.87E-13,7.55E-11
420261,0.6375,0,-0.35862,1.31E-12,-1.09E-12,7.59E-11
421388,0.635,0,-1.6586,-2.18E-11,-4.76E-10,-1.78E-08
420089,0.6375,0,-1.6437,1.81E-10,-3.82E-10,-1.37E-08
420277,0.6375,0,-0.23908,9.97E-13,-1.17E-12,7.66E-11
420248,0.64,0,-0.43333,1.66E-12,-1.53E-12,6.76E-11
418894,0.63875,0,-0.4408,1.51E-12,-7.13E-13,6.67E-11
418893,0.63875,0,-0.42586,1.49E-12,-8.20E-13,6.88E-11
418892,0.63625,0,-0.42586,1.44E-12,-1.45E-13,6.89E-11
420253,0.6375,0,-0.41839,1.59E-12,-9.65E-13,6.98E-11
420228,0.64,0,-0.58276,2.23E-12,-1.60E-12,2.69E-11
418836,0.63875,0,-0.59023,2.16E-12,-7.46E-13,2.40E-11
418835,0.63875,0,-0.57529,2.11E-12,-8.51E-13,2.98E-11
418834,0.63625,0,-0.57529,2.25E-12,-9.74E-14,2.94E-11
420233,0.6375,0,-0.56782,2.32E-12,-9.49E-13,3.22E-11
420208,0.64,0,-0.73218,3.24E-12,-1.82E-12,-6.62E-11
418670,0.63875,0,-0.73966,3.34E-12,-9.83E-13,-7.20E-11
418669,0.63875,0,-0.72471,3.18E-12,-8.42E-13,-5.97E-11
418668,0.63625,0,-0.72471,3.78E-12,-3.19E-13,-5.97E-11
420213,0.6375,0,-0.71724,3.67E-12,-1.16E-12,-5.39E-11
420188,0.64,0,-0.88161,4.96E-12,-1.92E-12,-2.52E-10
418644,0.63875,0,-0.88908,5.37E-12,-9.86E-13,-2.64E-10
418643,0.63875,0,-0.87414,5.12E-12,-9.36E-13,-2.40E-10
418642,0.63625,0,-0.87414,6.42E-12,-5.09E-13,-2.40E-10
420193,0.6375,0,-0.86667,6.01E-12,-1.45E-12,-2.28E-10
420168,0.64,0,-1.031,8.12E-12,-2.40E-12,-6.05E-10
418592,0.63875,0,-1.0385,9.10E-12,-1.35E-12,-6.27E-10
418591,0.63875,0,-1.0236,8.62E-12,-1.05E-12,-5.81E-10
418590,0.63625,0,-1.0236,1.12E-11,-8.62E-13,-5.82E-10
420173,0.6375,0,-1.0161,1.02E-11,-1.91E-12,-5.61E-10
420148,0.64,0,-1.1805,1.41E-11,-3.41E-12,-1.27E-09
418540,0.63875,0,-1.1879,1.60E-11,-2.05E-12,-1.31E-09
418539,0.63875,0,-1.173,1.51E-11,-1.36E-12,-1.22E-09
418538,0.63625,0,-1.173,2.01E-11,-1.51E-12,-1.23E-09
420153,0.6375,0,-1.1655,1.81E-11,-2.87E-12,-1.19E-09
420128,0.64,0,-1.3299,2.57E-11,-6.05E-12,-2.53E-09
418486,0.63875,0,-1.3374,2.95E-11,-2.95E-12,-2.61E-09
418485,0.63875,0,-1.3224,2.80E-11,-3.10E-12,-2.46E-09
418484,0.63625,0,-1.3224,3.76E-11,-2.81E-12,-2.46E-09
420133,0.6375,0,-1.3149,3.38E-11,-5.91E-12,-2.38E-09
420048,0.64,0,-1.9276,-4.81E-11,1.34E-11,-4.37E-09
418281,0.63875,0,-1.9351,-4.89E-11,6.63E-12,-4.21E-09
418280,0.63875,0,-1.9201,-5.25E-11,6.77E-12,-4.51E-09
418279,0.63625,0,-1.9201,-7.69E-11,1.03E-11,-4.52E-09
420053,0.6375,0,-1.9126,-7.62E-11,1.71E-11,-4.68E-09
420028,0.64,0,-2.077,-2.33E-11,3.82E-12,-2.12E-09
418230,0.63875,0,-2.0845,-2.41E-11,2.33E-12,-2.05E-09
418229,0.63875,0,-2.0695,-2.55E-11,1.49E-12,-2.19E-09
418228,0.63625,0,-2.0695,-3.72E-11,4.54E-12,-2.19E-09
420033,0.6375,0,-2.0621,-3.64E-11,6.04E-12,-2.27E-09
419977,0.6375,0,-2.5103,-4.87E-12,1.61E-12,-1.46E-10
418041,0.63625,0,-2.5178,-4.57E-12,5.60E-13,-1.35E-10
418042,0.63875,0,-2.5178,-3.13E-12,1.54E-12,-1.35E-10
420285,0.6375,0,-0.17931,9.04E-13,-1.37E-12,7.23E-11
420280,0.64,0,-0.19425,1.15E-12,-1.94E-12,7.33E-11
152565,0.6375,0,-0.19425,8.77E-13,-1.15E-12,7.36E-11
421437,0.635,0,-0.19425,5.58E-13,-3.45E-13,7.34E-11
420281,0.6375,0,-0.2092,8.03E-13,-9.09E-13,7.44E-11
418926,0.63875,0,-0.38103,1.49E-12,-1.09E-12,7.40E-11
420273,0.6375,0,-0.26897,1.03E-12,-1.25E-12,7.78E-11
419984,0.6375,0,-2.4506,-4.64E-12,1.21E-12,-2.47E-10
418056,0.63875,0,-2.4431,-3.54E-12,5.12E-13,-2.64E-10
418057,0.63625,0,-2.4431,-5.84E-12,9.32E-13,-2.66E-10
418441,0.63875,0,-1.4569,5.43E-11,-5.18E-13,-4.70E-09
420113,0.6375,0,-1.4644,7.61E-11,-1.20E-11,-4.86E-09
418442,0.63625,0,-1.4569,7.63E-11,-1.33E-12,-4.69E-09
418332,0.63875,0,-1.7557,-1.07E-10,4.77E-10,-1.24E-08
420073,0.6375,0,-1.7632,-1.80E-10,3.03E-10,-1.15E-08
418333,0.63625,0,-1.7557,-1.64E-10,3.59E-10,-1.26E-08
418091,0.63875,0,-2.204,-1.31E-11,-8.79E-13,-1.14E-09
420013,0.6375,0,-2.2115,-1.92E-11,2.29E-12,-1.09E-09
418092,0.63625,0,-2.204,-1.98E-11,9.43E-13,-1.14E-09
418043,0.63875,0,-2.5328,-3.61E-12,2.47E-12,-1.14E-10
419973,0.6375,0,-2.5402,-4.62E-12,3.91E-12,-9.94E-11
418044,0.63625,0,-2.5328,-3.84E-12,1.94E-12,-1.10E-10
421350,0.635,0,-2.5253,-5.58E-12,2.01E-12,-1.20E-10
420093,0.6375,0,-1.6138,1.78E-10,-1.54E-10,-1.14E-08
419989,0.6375,0,-2.3908,-8.17E-12,1.80E-12,-3.93E-10
418051,0.63875,0,-2.458,-3.45E-12,2.86E-13,-2.33E-10
418050,0.63625,0,-2.458,-5.75E-12,7.06E-13,-2.36E-10
418063,0.63875,0,-2.3385,-6.45E-12,-7.23E-13,-5.49E-10
418062,0.63625,0,-2.3385,-9.77E-12,-1.53E-12,-5.53E-10
419997,0.6375,0,-2.331,-1.13E-11,4.86E-13,-5.76E-10
418076,0.63875,0,-2.3086,-7.26E-12,-5.81E-13,-6.54E-10
418075,0.63625,0,-2.3086,-1.10E-11,-1.55E-12,-6.57E-10
420001,0.6375,0,-2.3011,-1.29E-11,5.20E-13,-6.84E-10
418080,0.63875,0,-2.2787,-8.18E-12,-5.32E-13,-7.69E-10
418079,0.63625,0,-2.2787,-1.16E-11,-9.19E-13,-7.69E-10
420005,0.6375,0,-2.2713,-1.37E-11,1.60E-12,-7.96E-10
420009,0.6375,0,-2.2414,-1.74E-11,2.93E-12,-9.56E-10
418094,0.63875,0,-2.219,-1.01E-11,-1.69E-12,-1.05E-09
418093,0.63625,0,-2.219,-1.67E-11,1.30E-13,-1.05E-09
420029,0.6375,0,-2.092,-3.00E-11,6.90E-12,-1.99E-09
418104,0.63875,0,-2.1592,-1.32E-11,-1.58E-12,-1.42E-09
418103,0.63625,0,-2.1592,-2.03E-11,-3.21E-12,-1.44E-09
420021,0.6375,0,-2.1517,-2.38E-11,5.14E-13,-1.49E-09
418108,0.63875,0,-2.1293,-1.38E-11,-1.50E-12,-1.64E-09
418107,0.63625,0,-2.1293,-2.17E-11,-1.86E-12,-1.64E-09
420025,0.6375,0,-2.1218,-2.46E-11,2.75E-12,-1.69E-09
420049,0.6375,0,-1.9425,-6.12E-11,1.65E-11,-4.10E-09
418253,0.63875,0,-2.0098,-2.55E-11,-2.39E-12,-2.91E-09
418252,0.63625,0,-2.0098,-3.98E-11,-6.16E-12,-2.94E-09
420041,0.6375,0,-2.0023,-4.68E-11,1.77E-12,-3.04E-09
418257,0.63875,0,-1.9799,-2.93E-11,-1.08E-12,-3.36E-09
418256,0.63625,0,-1.9799,-4.26E-11,-3.29E-12,-3.35E-09
420045,0.6375,0,-1.9724,-5.10E-11,7.12E-12,-3.46E-09
418308,0.63875,0,-1.8603,-5.61E-11,8.57E-12,-6.17E-09
418307,0.63625,0,-1.8603,-8.88E-11,-6.34E-12,-6.23E-09
420061,0.6375,0,-1.8529,-1.06E-10,1.98E-11,-6.48E-09
418304,0.63875,0,-1.8305,-6.78E-11,3.46E-11,-7.27E-09
418303,0.63625,0,-1.8305,-9.58E-11,2.77E-12,-7.28E-09
