Node Number,X Location (m),Y Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
407059,0.69604,0,-1.7272,2.35E-13,1.70E-15,-7.39E-13
407058,0.68411,0,-1.7355,2.09E-13,3.68E-15,-8.00E-13
411242,0.57988,0,-0.48633,2.12E-12,2.84E-14,4.30E-13
393806,0.69742,0,-1.7202,2.52E-13,-2.21E-15,-7.20E-13
191721,0.70225,0,-1.7129,2.70E-13,-1.63E-15,-7.09E-13
443836,0.71248,0,-1.7117,2.91E-13,-3.13E-15,-6.70E-13
407175,0.71048,0,-1.6978,3.39E-13,-4.68E-15,-6.73E-13
407194,0.69287,0,-1.6036,8.63E-13,3.08E-16,-7.35E-13
407214,0.68769,0,-1.6437,6.12E-13,-6.85E-15,-8.75E-13
411159,0.69642,0,-1.6429,6.12E-13,-9.01E-15,-8.05E-13
444991,0.69984,0,-1.6531,5.54E-13,-8.25E-15,-7.60E-13
407333,0.69621,0,-1.2787,1.51E-12,-2.93E-15,-1.76E-13
407332,0.68411,0,-1.287,1.51E-12,2.51E-16,-1.89E-13
443790,0.71264,0,-1.2632,1.53E-12,-1.03E-14,-1.53E-13
407361,0.71048,0,-1.2492,1.53E-12,-7.83E-15,-1.43E-13
393172,0.69118,0,-1.1216,1.59E-12,-3.75E-15,-8.17E-14
411053,0.69247,0,-1.4662,1.32E-12,-1.23E-15,-4.08E-13
444977,0.70039,0,-1.4752,1.29E-12,-3.21E-15,-4.16E-13
393308,0.6835,0,-5.67E-02,1.92E-12,-2.67E-16,3.22E-13
392812,0.6835,0,-0.3277,1.61E-12,-1.98E-15,1.64E-14
411045,0.64766,0,-1.3661,1.53E-12,1.03E-14,-2.95E-13
420124,0.64,0,-1.3598,1.55E-12,1.16E-14,-2.89E-13
407407,0.68362,0,-0.12567,1.75E-12,8.94E-16,9.52E-14
407424,0.6778,0,-0.31764,1.62E-12,9.74E-16,1.63E-14
407426,0.68385,0,-0.31123,1.62E-12,-1.07E-15,1.90E-14
191786,0.68408,0,-0.31679,1.62E-12,-1.08E-15,1.81E-14
394378,0.68303,0,-0.13102,1.74E-12,1.38E-15,8.79E-14
415483,0.70227,0,-0.81583,1.61E-12,-8.39E-15,-1.86E-14
407488,0.6944,0,-1.0086,1.61E-12,-4.61E-15,-5.43E-14
