S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
0,-0.7,1.13E-12,6.88E-13,6.60E-11
1.29E-02,-0.71287,5.23E-13,4.55E-13,6.86E-11
2.57E-02,-0.72574,3.30E-13,2.65E-13,7.11E-11
3.86E-02,-0.73861,2.30E-13,2.24E-13,7.38E-11
5.15E-02,-0.75149,1.42E-13,2.82E-13,7.62E-11
6.44E-02,-0.76436,3.45E-13,2.48E-13,7.94E-11
7.72E-02,-0.77723,2.92E-13,3.14E-13,8.17E-11
9.01E-02,-0.7901,3.12E-13,3.21E-13,8.46E-11
0.10297,-0.80297,3.35E-13,3.30E-13,8.74E-11
0.11584,-0.81584,3.10E-13,3.40E-13,9.02E-11
0.12871,-0.82871,2.74E-13,3.70E-13,9.29E-11
0.14158,-0.84158,3.58E-13,4.09E-13,9.57E-11
0.15446,-0.85446,3.62E-13,3.62E-13,9.88E-11
0.16733,-0.86733,3.26E-13,3.24E-13,1.02E-10
0.1802,-0.8802,2.44E-13,3.25E-13,1.04E-10
0.19307,-0.89307,2.48E-13,3.68E-13,1.07E-10
0.20594,-0.90594,2.16E-13,3.16E-13,1.09E-10
0.21881,-0.91881,3.42E-13,4.12E-13,1.12E-10
0.23168,-0.93168,2.77E-13,3.48E-13,1.14E-10
0.24455,-0.94455,2.57E-13,3.18E-13,1.17E-10
0.25743,-0.95743,2.02E-13,2.70E-13,1.19E-10
0.2703,-0.9703,2.02E-13,2.60E-13,1.21E-10
0.28317,-0.98317,1.80E-13,2.35E-13,1.23E-10
0.29604,-0.99604,1.50E-13,1.89E-13,1.25E-10
0.30891,-1.0089,1.50E-13,1.84E-13,1.26E-10
0.32178,-1.0218,1.52E-13,1.67E-13,1.28E-10
0.33465,-1.0347,1.07E-13,9.56E-14,1.29E-10
0.34752,-1.0475,8.33E-14,7.52E-14,1.30E-10
0.3604,-1.0604,6.13E-14,6.30E-14,1.31E-10
0.37327,-1.0733,4.40E-14,4.92E-14,1.32E-10
0.38614,-1.0861,2.84E-14,3.33E-14,1.33E-10
0.39901,-1.099,1.47E-14,1.60E-14,1.33E-10
0.41188,-1.1119,-2.81E-15,-2.84E-15,1.33E-10
0.42475,-1.1248,-2.53E-14,-2.68E-14,1.33E-10
0.43762,-1.1376,-4.63E-14,-6.04E-14,1.32E-10
0.4505,-1.1505,-6.86E-14,-9.93E-14,1.32E-10
0.46337,-1.1634,-6.78E-14,-1.01E-13,1.31E-10
0.47624,-1.1762,-1.05E-13,-1.55E-13,1.30E-10
0.48911,-1.1891,-1.40E-13,-1.50E-13,1.29E-10
0.50198,-1.202,-2.02E-13,-1.66E-13,1.28E-10
0.51485,-1.2149,-2.37E-13,-1.96E-13,1.26E-10
