S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
0.52772,-1.2277,-2.46E-13,-2.17E-13,1.24E-10
0.54059,-1.2406,-2.57E-13,-2.37E-13,1.22E-10
0.55347,-1.2535,-2.52E-13,-2.43E-13,1.20E-10
0.56634,-1.2663,-1.93E-13,-2.57E-13,1.18E-10
0.57921,-1.2792,-3.12E-13,-2.35E-13,1.16E-10
0.59208,-1.2921,-2.62E-13,-1.96E-13,1.13E-10
0.60495,-1.305,-2.46E-13,-2.43E-13,1.11E-10
0.61782,-1.3178,-2.74E-13,-3.19E-13,1.08E-10
0.63069,-1.3307,-5.28E-13,-5.89E-13,1.06E-10
0.64356,-1.3436,-8.17E-13,-8.61E-13,1.03E-10
0.65644,-1.3564,-9.14E-13,-8.92E-13,1.00E-10
0.66931,-1.3693,-1.01E-12,-9.24E-13,9.77E-11
0.68218,-1.3822,-9.90E-13,-7.90E-13,9.44E-11
0.69505,-1.395,-9.64E-13,-6.47E-13,9.10E-11
0.70792,-1.4079,-5.36E-13,-5.14E-13,8.85E-11
0.72079,-1.4208,-6.80E-14,-3.74E-13,8.62E-11
0.73366,-1.4337,-2.89E-13,-2.52E-13,8.37E-11
0.74653,-1.4465,-2.32E-13,-3.00E-13,8.12E-11
0.75941,-1.4594,-3.87E-13,-1.79E-13,7.75E-11
0.77228,-1.4723,-2.97E-13,-3.01E-13,7.54E-11
0.78515,-1.4851,-2.96E-13,-3.95E-13,7.27E-11
0.79802,-1.498,-2.84E-13,-2.12E-13,6.96E-11
0.81089,-1.5109,-2.30E-13,-1.71E-13,6.71E-11
0.82376,-1.5238,-2.20E-13,-2.09E-13,6.49E-11
0.83663,-1.5366,-2.51E-13,-1.12E-13,6.29E-11
0.8495,-1.5495,-2.91E-13,-3.09E-13,6.04E-11
0.86238,-1.5624,-2.98E-13,-2.94E-13,5.79E-11
0.87525,-1.5752,-2.83E-13,-2.68E-13,5.56E-11
0.88812,-1.5881,-2.75E-13,-2.54E-13,5.33E-11
0.90099,-1.601,-2.73E-13,-2.44E-13,5.11E-11
0.91386,-1.6139,-2.51E-13,-2.23E-13,4.89E-11
0.92673,-1.6267,-2.12E-13,-1.76E-13,4.70E-11
0.9396,-1.6396,-2.28E-13,-1.37E-13,4.51E-11
0.95248,-1.6525,-2.35E-13,-1.37E-13,4.32E-11
0.96535,-1.6653,-1.69E-13,-1.19E-13,4.14E-11
0.97822,-1.6782,-1.91E-13,-1.46E-13,3.97E-11
0.99109,-1.6911,-2.09E-13,-1.75E-13,3.81E-11
1.004,-1.704,-1.93E-13,-1.39E-13,3.63E-11
1.0168,-1.7168,-1.55E-13,-1.33E-13,3.47E-11
1.0297,-1.7297,-1.99E-13,-1.84E-13,3.33E-11
1.0426,-1.7426,-1.79E-13,-1.43E-13,3.18E-11
1.0554,-1.7554,-1.77E-13,-1.37E-13,3.04E-11
1.0683,-1.7683,-1.61E-13,-1.38E-13,2.91E-11
1.0812,-1.7812,-1.27E-13,-1.20E-13,2.78E-11
1.0941,-1.7941,-1.46E-13,-1.38E-13,2.66E-11
1.1069,-1.8069,-1.52E-13,-1.44E-13,2.54E-11
1.1198,-1.8198,-1.66E-13,-1.40E-13,2.42E-11
1.1327,-1.8327,-1.72E-13,-1.36E-13,2.31E-11
1.1455,-1.8455,-1.41E-13,-9.68E-14,2.20E-11
1.1584,-1.8584,-1.27E-13,-8.75E-14,2.10E-11
1.1713,-1.8713,-1.16E-13,-1.02E-13,2.01E-11
1.1842,-1.8842,-1.23E-13,-1.14E-13,1.92E-11
1.197,-1.897,-1.12E-13,-1.10E-13,1.83E-11
1.2099,-1.9099,-1.01E-13,-1.09E-13,1.75E-11
1.2228,-1.9228,-9.20E-14,-9.25E-14,1.67E-11
1.2356,-1.9356,-8.88E-14,-7.87E-14,1.59E-11
1.2485,-1.9485,-8.22E-14,-7.50E-14,1.52E-11
1.2614,-1.9614,-7.88E-14,-7.57E-14,1.45E-11
1.2743,-1.9743,-6.18E-14,-9.17E-14,1.39E-11
1.2871,-1.9871,-7.65E-14,-8.26E-14,1.30E-11
1.3,-2,-5.03E-14,-6.10E-14,1.25E-11
