S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
0.54059,-1.2406,3.10E-13,2.85E-13,5.93E-11
0.55347,-1.2535,2.90E-13,2.80E-13,6.18E-11
0.56634,-1.2663,2.16E-13,2.85E-13,6.41E-11
0.57921,-1.2792,3.41E-13,2.56E-13,6.62E-11
0.59208,-1.2921,2.77E-13,2.07E-13,6.96E-11
0.60495,-1.305,2.56E-13,2.53E-13,7.18E-11
0.61782,-1.3178,2.82E-13,3.29E-13,7.46E-11
0.63069,-1.3307,5.37E-13,5.99E-13,7.73E-11
0.64356,-1.3436,8.28E-13,8.71E-13,7.99E-11
0.65644,-1.3564,9.21E-13,8.99E-13,8.26E-11
0.66931,-1.3693,1.01E-12,9.27E-13,8.53E-11
0.68218,-1.3822,9.92E-13,7.92E-13,8.86E-11
0.69505,-1.395,9.64E-13,6.47E-13,9.20E-11
0.70792,-1.4079,5.36E-13,5.13E-13,9.46E-11
0.72079,-1.4208,6.78E-14,3.73E-13,9.68E-11
0.73366,-1.4337,2.88E-13,2.51E-13,9.93E-11
0.74653,-1.4465,2.30E-13,2.98E-13,1.02E-10
0.75941,-1.4594,3.81E-13,1.76E-13,1.05E-10
0.77228,-1.4723,2.89E-13,2.94E-13,1.07E-10
0.78515,-1.4851,2.86E-13,3.81E-13,1.10E-10
0.79802,-1.498,2.70E-13,2.00E-13,1.13E-10
0.81089,-1.5109,2.14E-13,1.59E-13,1.15E-10
0.82376,-1.5238,2.00E-13,1.89E-13,1.17E-10
0.83663,-1.5366,2.22E-13,9.88E-14,1.19E-10
0.8495,-1.5495,2.47E-13,2.63E-13,1.21E-10
0.86238,-1.5624,2.41E-13,2.37E-13,1.23E-10
0.87525,-1.5752,2.15E-13,2.01E-13,1.25E-10
0.88812,-1.5881,1.94E-13,1.76E-13,1.27E-10
0.90099,-1.601,1.74E-13,1.54E-13,1.28E-10
0.91386,-1.6139,1.42E-13,1.24E-13,1.30E-10
0.92673,-1.6267,1.04E-13,8.42E-14,1.31E-10
0.9396,-1.6396,8.92E-14,5.33E-14,1.32E-10
0.95248,-1.6525,6.97E-14,3.97E-14,1.32E-10
0.96535,-1.6653,3.27E-14,2.26E-14,1.33E-10
0.97822,-1.6782,1.61E-14,1.25E-14,1.33E-10
0.99109,-1.6911,-9.56E-15,-6.10E-15,1.33E-10
1.004,-1.704,-3.74E-14,-2.72E-14,1.33E-10
1.0168,-1.7168,-5.18E-14,-4.28E-14,1.32E-10
1.0297,-1.7297,-9.68E-14,-8.95E-14,1.32E-10
1.0426,-1.7426,-1.18E-13,-9.34E-14,1.31E-10
1.0554,-1.7554,-1.46E-13,-1.12E-13,1.30E-10
1.0683,-1.7683,-1.62E-13,-1.38E-13,1.29E-10
1.0812,-1.7812,-1.49E-13,-1.40E-13,1.27E-10
1.0941,-1.7941,-1.99E-13,-1.86E-13,1.26E-10
1.1069,-1.8069,-2.37E-13,-2.24E-13,1.24E-10
1.1198,-1.8198,-2.94E-13,-2.47E-13,1.22E-10
1.1327,-1.8327,-3.43E-13,-2.72E-13,1.20E-10
1.1455,-1.8455,-3.14E-13,-2.14E-13,1.18E-10
1.1584,-1.8584,-3.08E-13,-2.11E-13,1.15E-10
1.1713,-1.8713,-3.05E-13,-2.65E-13,1.13E-10
1.1842,-1.8842,-3.48E-13,-3.20E-13,1.11E-10
1.197,-1.897,-3.42E-13,-3.34E-13,1.08E-10
1.2099,-1.9099,-3.30E-13,-3.55E-13,1.05E-10
1.2228,-1.9228,-3.20E-13,-3.22E-13,1.03E-10
1.2356,-1.9356,-3.28E-13,-2.91E-13,9.98E-11
1.2485,-1.9485,-3.21E-13,-2.92E-13,9.70E-11
1.2614,-1.9614,-3.26E-13,-3.10E-13,9.41E-11
1.2743,-1.9743,-2.67E-13,-3.94E-13,9.16E-11
1.2871,-1.9871,-3.50E-13,-3.76E-13,8.79E-11
1.3,-2,-2.38E-13,-2.89E-13,8.54E-11
