S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
0,-0.7,1.88E-13,1.16E-13,8.84E-12
1.29E-02,-0.71287,8.84E-14,7.82E-14,9.30E-12
2.57E-02,-0.72574,5.89E-14,4.69E-14,9.72E-12
3.86E-02,-0.73861,4.21E-14,4.07E-14,1.02E-11
5.15E-02,-0.75149,2.67E-14,5.27E-14,1.07E-11
6.44E-02,-0.76436,6.73E-14,4.82E-14,1.13E-11
7.72E-02,-0.77723,5.88E-14,6.28E-14,1.17E-11
9.01E-02,-0.7901,6.54E-14,6.69E-14,1.23E-11
0.10297,-0.80297,7.32E-14,7.20E-14,1.29E-11
0.11584,-0.81584,7.07E-14,7.76E-14,1.35E-11
0.12871,-0.82871,6.53E-14,8.80E-14,1.42E-11
0.14158,-0.84158,9.00E-14,1.02E-13,1.48E-11
0.15446,-0.85446,9.67E-14,9.61E-14,1.56E-11
0.16733,-0.86733,9.20E-14,9.09E-14,1.64E-11
0.1802,-0.8802,7.30E-14,9.68E-14,1.71E-11
0.19307,-0.89307,7.87E-14,1.16E-13,1.79E-11
0.20594,-0.90594,7.24E-14,1.06E-13,1.87E-11
0.21881,-0.91881,1.25E-13,1.50E-13,1.96E-11
0.23168,-0.93168,1.12E-13,1.40E-13,2.07E-11
0.24455,-0.94455,1.14E-13,1.41E-13,2.17E-11
0.25743,-0.95743,9.75E-14,1.31E-13,2.27E-11
0.2703,-0.9703,1.08E-13,1.41E-13,2.38E-11
0.28317,-0.98317,1.08E-13,1.42E-13,2.49E-11
0.29604,-0.99604,1.03E-13,1.30E-13,2.61E-11
0.30891,-1.0089,1.17E-13,1.44E-13,2.72E-11
0.32178,-1.0218,1.39E-13,1.54E-13,2.85E-11
0.33465,-1.0347,1.19E-13,1.07E-13,2.99E-11
0.34752,-1.0475,1.15E-13,1.03E-13,3.12E-11
0.3604,-1.0604,1.09E-13,1.11E-13,3.26E-11
0.37327,-1.0733,1.11E-13,1.21E-13,3.41E-11
0.38614,-1.0861,1.13E-13,1.31E-13,3.57E-11
0.39901,-1.099,1.28E-13,1.41E-13,3.72E-11
0.41188,-1.1119,1.78E-13,1.60E-13,3.88E-11
0.42475,-1.1248,1.92E-13,1.90E-13,4.06E-11
0.43762,-1.1376,1.91E-13,2.36E-13,4.24E-11
0.4505,-1.1505,1.97E-13,2.73E-13,4.44E-11
0.46337,-1.1634,1.56E-13,2.21E-13,4.63E-11
0.47624,-1.1762,1.98E-13,2.85E-13,4.83E-11
0.48911,-1.1891,2.32E-13,2.45E-13,5.04E-11
0.50198,-1.202,3.01E-13,2.45E-13,5.24E-11
0.51485,-1.2149,3.26E-13,2.67E-13,5.46E-11
0.52772,-1.2277,3.14E-13,2.76E-13,5.69E-11
