Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39788,0.64,-0.17931,2.95E-12,-1.73E-12,-1.09E-10
39782,0.64,-0.35862,5.39E-12,-2.87E-13,-3.77E-10
39772,0.64,-0.65747,1.74E-11,-4.88E-13,-1.63E-09
39722,0.64,-2.1517,-2.38E-12,1.04E-12,-3.73E-11
39990,0.635,-2.3609,-1.48E-12,4.04E-13,3.33E-11
31771,0.6375,-2.3759,-1.32E-12,4.72E-13,3.58E-11
39989,0.635,-2.3908,-1.33E-12,9.33E-13,3.78E-11
39715,0.64,-2.3609,-1.41E-12,1.06E-12,3.37E-11
39738,0.64,-1.6736,-9.84E-12,1.34E-12,-9.73E-10
39739,0.64,-1.6437,-1.34E-11,5.76E-13,-1.14E-09
40013,0.635,-1.6736,-1.97E-11,4.52E-12,-9.90E-10
39762,0.64,-0.95632,7.72E-11,-1.38E-12,-6.70E-09
39732,0.64,-1.8529,-6.06E-12,9.10E-13,-4.01E-10
39781,0.64,-0.38851,6.28E-12,-6.35E-13,-4.40E-10
39787,0.64,-0.2092,3.68E-12,-1.62E-12,-1.40E-10
39785,0.64,-0.26897,3.87E-12,-1.65E-12,-2.16E-10
39716,0.64,-2.331,-1.51E-12,1.19E-12,2.86E-11
32050,0.6375,-0.37356,4.05E-12,1.53E-12,-4.07E-10
40057,0.635,-0.35862,9.90E-12,1.81E-13,-3.70E-10
40014,0.635,-1.6437,-2.44E-11,4.52E-12,-1.13E-09
40061,0.635,-0.23908,5.68E-12,-6.82E-13,-1.73E-10
39786,0.64,-0.23908,3.55E-12,-1.15E-12,-1.77E-10
39777,0.64,-0.50805,9.63E-12,-5.95E-13,-8.12E-10
39767,0.64,-0.8069,3.38E-11,-5.05E-13,-3.23E-09
39757,0.64,-1.1057,1.20E-11,2.23E-12,-1.33E-08
39742,0.64,-1.554,-1.87E-11,1.02E-12,-1.70E-09
