S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
1.0554,-1.7554,2.65E-13,2.05E-13,4.91E-11
1.0683,-1.7683,2.60E-13,2.23E-13,5.12E-11
1.0812,-1.7812,2.19E-13,2.06E-13,5.34E-11
1.0941,-1.7941,2.70E-13,2.54E-13,5.55E-11
1.1069,-1.8069,3.01E-13,2.86E-13,5.78E-11
1.1198,-1.8198,3.55E-13,2.98E-13,6.03E-11
1.1327,-1.8327,3.95E-13,3.13E-13,6.27E-11
1.1455,-1.8455,3.49E-13,2.38E-13,6.54E-11
1.1584,-1.8584,3.34E-13,2.29E-13,6.79E-11
1.1713,-1.8713,3.25E-13,2.83E-13,7.03E-11
1.1842,-1.8842,3.65E-13,3.36E-13,7.28E-11
1.197,-1.897,3.54E-13,3.46E-13,7.56E-11
1.2099,-1.9099,3.39E-13,3.65E-13,7.83E-11
1.2228,-1.9228,3.27E-13,3.30E-13,8.11E-11
1.2356,-1.9356,3.34E-13,2.97E-13,8.39E-11
1.2485,-1.9485,3.26E-13,2.97E-13,8.68E-11
1.2614,-1.9614,3.31E-13,3.15E-13,8.97E-11
1.2743,-1.9743,2.71E-13,4.00E-13,9.22E-11
1.2871,-1.9871,3.54E-13,3.82E-13,9.60E-11
1.3,-2,2.41E-13,2.93E-13,9.85E-11
