S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
0,-0.7,1.76E-14,1.06E-14,1.31E-12
1.29E-02,-0.71287,8.47E-15,7.31E-15,1.35E-12
2.57E-02,-0.72574,5.86E-15,4.50E-15,1.39E-12
3.86E-02,-0.73861,4.22E-15,4.01E-15,1.44E-12
5.15E-02,-0.75149,2.71E-15,5.29E-15,1.48E-12
6.44E-02,-0.76436,7.01E-15,4.89E-15,1.55E-12
7.72E-02,-0.77723,6.21E-15,6.47E-15,1.59E-12
9.01E-02,-0.7901,7.00E-15,7.00E-15,1.65E-12
0.10297,-0.80297,7.93E-15,7.66E-15,1.72E-12
0.11584,-0.81584,7.73E-15,8.37E-15,1.78E-12
0.12871,-0.82871,7.21E-15,9.58E-15,1.85E-12
0.14158,-0.84158,1.01E-14,1.13E-14,1.93E-12
0.15446,-0.85446,1.09E-14,1.07E-14,2.02E-12
0.16733,-0.86733,1.05E-14,1.02E-14,2.10E-12
0.1802,-0.8802,8.38E-15,1.10E-14,2.18E-12
0.19307,-0.89307,9.09E-15,1.33E-14,2.27E-12
0.20594,-0.90594,8.43E-15,1.22E-14,2.37E-12
0.21881,-0.91881,1.47E-14,1.75E-14,2.47E-12
0.23168,-0.93168,1.33E-14,1.65E-14,2.60E-12
0.24455,-0.94455,1.36E-14,1.67E-14,2.72E-12
0.25743,-0.95743,1.17E-14,1.57E-14,2.84E-12
0.2703,-0.9703,1.31E-14,1.69E-14,2.97E-12
0.28317,-0.98317,1.32E-14,1.73E-14,3.11E-12
0.29604,-0.99604,1.27E-14,1.60E-14,3.25E-12
0.30891,-1.0089,1.46E-14,1.78E-14,3.39E-12
0.32178,-1.0218,1.74E-14,1.91E-14,3.54E-12
0.33465,-1.0347,1.51E-14,1.35E-14,3.72E-12
0.34752,-1.0475,1.47E-14,1.31E-14,3.89E-12
0.3604,-1.0604,1.41E-14,1.43E-14,4.07E-12
0.37327,-1.0733,1.45E-14,1.56E-14,4.26E-12
0.38614,-1.0861,1.49E-14,1.72E-14,4.47E-12
0.39901,-1.099,1.71E-14,1.87E-14,4.67E-12
0.41188,-1.1119,2.40E-14,2.14E-14,4.89E-12
0.42475,-1.1248,2.61E-14,2.58E-14,5.12E-12
0.43762,-1.1376,2.63E-14,3.24E-14,5.38E-12
0.4505,-1.1505,2.76E-14,3.81E-14,5.64E-12
0.46337,-1.1634,2.21E-14,3.13E-14,5.92E-12
0.47624,-1.1762,2.85E-14,4.11E-14,6.20E-12
0.48911,-1.1891,3.40E-14,3.58E-14,6.51E-12
0.50198,-1.202,4.49E-14,3.65E-14,6.81E-12
0.51485,-1.2149,4.94E-14,4.04E-14,7.13E-12
0.52772,-1.2277,4.86E-14,4.27E-14,7.49E-12
0.54059,-1.2406,4.90E-14,4.50E-14,7.86E-12
0.55347,-1.2535,4.69E-14,4.52E-14,8.25E-12
0.56634,-1.2663,3.56E-14,4.72E-14,8.64E-12
0.57921,-1.2792,5.75E-14,4.31E-14,8.98E-12
0.59208,-1.2921,4.85E-14,3.61E-14,9.56E-12
0.60495,-1.305,4.60E-14,4.54E-14,9.97E-12
0.61782,-1.3178,5.20E-14,6.04E-14,1.05E-11
0.63069,-1.3307,1.03E-13,1.15E-13,1.10E-11
0.64356,-1.3436,1.63E-13,1.72E-13,1.15E-11
0.65644,-1.3564,1.89E-13,1.84E-13,1.20E-11
0.66931,-1.3693,2.16E-13,1.97E-13,1.26E-11
0.68218,-1.3822,2.22E-13,1.76E-13,1.33E-11
0.69505,-1.395,2.26E-13,1.53E-13,1.41E-11
0.70792,-1.4079,1.28E-13,1.27E-13,1.47E-11
0.72079,-1.4208,1.79E-14,9.71E-14,1.53E-11
0.73366,-1.4337,7.74E-14,6.80E-14,1.59E-11
0.74653,-1.4465,6.56E-14,8.45E-14,1.66E-11
0.75941,-1.4594,1.18E-13,5.42E-14,1.77E-11
0.77228,-1.4723,9.53E-14,9.51E-14,1.83E-11
0.78515,-1.4851,1.01E-13,1.34E-13,1.92E-11
0.79802,-1.498,1.03E-13,7.77E-14,2.03E-11
0.81089,-1.5109,8.87E-14,6.67E-14,2.13E-11
0.82376,-1.5238,9.04E-14,8.65E-14,2.22E-11
0.83663,-1.5366,1.09E-13,4.92E-14,2.30E-11
0.8495,-1.5495,1.36E-13,1.43E-13,2.41E-11
0.86238,-1.5624,1.50E-13,1.48E-13,2.53E-11
0.87525,-1.5752,1.52E-13,1.45E-13,2.65E-11
0.88812,-1.5881,1.58E-13,1.48E-13,2.78E-11
0.90099,-1.601,1.69E-13,1.53E-13,2.91E-11
0.91386,-1.6139,1.68E-13,1.50E-13,3.05E-11
0.92673,-1.6267,1.52E-13,1.27E-13,3.19E-11
0.9396,-1.6396,1.77E-13,1.07E-13,3.33E-11
0.95248,-1.6525,1.96E-13,1.15E-13,3.48E-11
0.96535,-1.6653,1.51E-13,1.07E-13,3.64E-11
0.97822,-1.6782,1.83E-13,1.40E-13,3.79E-11
0.99109,-1.6911,2.16E-13,1.80E-13,3.96E-11
1.004,-1.704,2.16E-13,1.55E-13,4.15E-11
1.0168,-1.7168,1.86E-13,1.59E-13,4.34E-11
1.0297,-1.7297,2.57E-13,2.38E-13,4.51E-11
1.0426,-1.7426,2.50E-13,1.99E-13,4.71E-11
