S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
1.1842,-1.8842,-1.42E-14,-1.31E-14,2.38E-12
1.197,-1.897,-1.29E-14,-1.25E-14,2.28E-12
1.2099,-1.9099,-1.15E-14,-1.22E-14,2.18E-12
1.2228,-1.9228,-1.03E-14,-1.03E-14,2.09E-12
1.2356,-1.9356,-9.89E-15,-8.67E-15,2.00E-12
1.2485,-1.9485,-9.07E-15,-8.17E-15,1.92E-12
1.2614,-1.9614,-8.58E-15,-8.16E-15,1.85E-12
1.2743,-1.9743,-6.68E-15,-9.76E-15,1.78E-12
1.2871,-1.9871,-8.13E-15,-8.64E-15,1.69E-12
1.3,-2,-5.30E-15,-6.29E-15,1.64E-12
