,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z (m),Bx_1 à 1 A (T),By_1 à 1 A (T),Bz_1 à 1 A (T),z (m),Bx_1 à 1 A (T),By_1 à 1 A (T),Bz_1 à 1 A (T),z (m),Bx_2 à 1 A (T),By_2 à 1 A (T),Bz_2 à 1 A (T),z (m),Bx_2 à 1 A (T),By_2 à 1 A (T),Bz_2 à 1 A (T),z (m),Bx_3 à 1 A (T),By_3 à 1 A (T),Bz_3 à 1 A (T),z (m),Bx_3 à 1 A (T),By_3 à 1 A (T),Bz_3 à 1 A (T),z (m),Bx_4 à 1 A (T),By_4 à 1 A (T),Bz_4 à 1 A (T),z (m),Bx_4 à 1 A (T),By_4 à 1 A (T),Bz_4 à 1 A (T),z (m),Bx_5 à 1 A (T),By_5 à 1 A (T),Bz_5 à 1 A (T),z (m),Bx_5 à 1 A (T),By_5 à 1 A (T),Bz_5 à 1 A (T),,Bsum_terre sur axe (T),Bx_terre sur axe (T),By_terre sur axe (T),Bz_terre sur axe (T)
-1.53663,,,3.1187E-08,-1.6733,,,,-1.53663,-3.49E-09,-2.78E-09,4.03E-07,-1.67E+00,,,,-1.53663,1.12E-09,9.43E-10,1.32E-06,-1.67E+00,,,,-1.54E+00,1.29E-08,1.57E-08,9.51E-07,-8.41E-01,2.55E-09,2.45E-09,9.49E-08,-1.54E+00,3.69E-07,5.92E-09,2.22E-07,-1.6733,1.05E-08,8.62E-09,3.69E-07,,3.74E-06,-2.94E-08,-3.66E-08,-3.74E-06
-1.5495,,,2.9509E-08,-1.699,,,,-1.5495,-3.76E-09,-3.14E-09,3.83E-07,-1.70E+00,,,,-1.5495,7.17E-10,6.70E-10,1.33E-06,-1.70E+00,,,,-1.55E+00,1.34E-08,1.65E-08,9.84E-07,-8.54E-01,2.68E-09,2.96E-09,1.01E-07,-1.55E+00,4.03E-07,6.72E-09,2.35E-07,-1.699,1.11E-08,9.92E-09,4.03E-07,,3.83E-06,-3.60E-08,-4.25E-08,-3.83E-06
-1.56238,,,2.8045E-08,-1.7248,,,,-1.56238,-3.45E-09,-3.06E-09,3.65E-07,-1.72E+00,,,,-1.56238,2.87E-10,3.51E-10,1.33E-06,-1.72E+00,,,,-1.56E+00,1.39E-08,1.72E-08,1.02E-06,-8.67E-01,2.80E-09,3.48E-09,1.06E-07,-1.56E+00,4.38E-07,7.53E-09,2.49E-07,-1.7248,1.18E-08,1.10E-08,4.38E-07,,3.91E-06,-3.95E-08,-5.13E-08,-3.91E-06
-1.57525,,,2.6744E-08,-1.7505,,,,-1.57525,-2.90E-09,-2.79E-09,3.49E-07,-1.75E+00,,,,-1.57525,-1.59E-10,-1.49E-11,1.33E-06,-1.75E+00,,,,-1.58E+00,1.43E-08,1.80E-08,1.05E-06,-8.80E-01,2.92E-09,3.99E-09,1.12E-07,-1.58E+00,4.74E-07,8.33E-09,2.62E-07,-1.7505,1.11E-08,1.11E-08,4.74E-07,,3.98E-06,-4.10E-08,-6.20E-08,-3.98E-06
-1.58812,,,2.5694E-08,-1.7762,,,,-1.58812,-3.34E-09,-3.19E-09,3.36E-07,-1.78E+00,,,,-1.58812,-5.98E-10,-5.44E-10,1.33E-06,-1.78E+00,,,,-1.59E+00,1.55E-08,1.66E-08,1.08E-06,-8.93E-01,3.10E-09,3.67E-09,1.18E-07,-1.59E+00,5.13E-07,8.03E-09,2.76E-07,-1.7762,1.06E-08,1.15E-08,5.13E-07,,4.06E-06,-4.24E-08,-7.26E-08,-4.06E-06
-1.60099,,,2.4571E-08,-1.802,,,,-1.60099,-3.48E-09,-3.15E-09,3.21E-07,-1.80E+00,,,,-1.60099,-1.09E-09,-1.00E-09,1.32E-06,-1.80E+00,,,,-1.60E+00,1.71E-08,1.35E-08,1.10E-06,-9.05E-01,3.29E-09,3.25E-09,1.23E-07,-1.60E+00,5.66E-07,6.86E-09,2.89E-07,-1.802,1.15E-08,1.32E-08,5.66E-07,,4.13E-06,-4.39E-08,-8.33E-08,-4.13E-06
-1.61386,,,2.341E-08,-1.8277,,,,-1.61386,-3.42E-09,-2.84E-09,3.07E-07,-1.83E+00,,,,-1.61386,-1.63E-09,-1.41E-09,1.32E-06,-1.83E+00,,,,-1.61E+00,1.87E-08,1.05E-08,1.13E-06,-9.18E-01,3.48E-09,2.83E-09,1.29E-07,-1.61E+00,6.20E-07,5.70E-09,3.03E-07,-1.8277,1.17E-08,1.33E-08,6.20E-07,,4.21E-06,-4.63E-08,-9.32E-08,-4.21E-06
-1.62673,,,2.2348E-08,-1.8535,,,,-1.62673,-3.31E-09,-2.67E-09,2.93E-07,-1.85E+00,,,,-1.62673,-2.17E-09,-1.80E-09,1.31E-06,-1.85E+00,,,,-1.63E+00,2.04E-08,7.37E-09,1.16E-06,-9.31E-01,3.69E-09,2.53E-09,1.34E-07,-1.63E+00,6.76E-07,4.53E-09,3.16E-07,-1.8535,1.06E-08,1.00E-08,6.76E-07,,4.30E-06,-5.75E-08,-9.51E-08,-4.29E-06
-1.6396,,,2.1314E-08,-1.8792,,,,-1.6396,-3.20E-09,-2.73E-09,2.80E-07,-1.88E+00,,,,-1.6396,-2.70E-09,-2.38E-09,1.30E-06,-1.88E+00,,,,-1.64E+00,1.84E-08,7.85E-09,1.18E-06,-9.44E-01,3.96E-09,2.68E-09,1.41E-07,-1.64E+00,7.22E-07,5.42E-09,3.31E-07,-1.8792,7.62E-09,7.77E-09,7.22E-07,,4.38E-06,-6.87E-08,-9.70E-08,-4.38E-06
-1.65248,,,2.0296E-08,-1.905,,,,-1.65248,-3.09E-09,-2.94E-09,2.66E-07,-1.91E+00,,,,-1.65248,-3.24E-09,-3.11E-09,1.29E-06,-1.91E+00,,,,-1.65E+00,1.58E-08,8.90E-09,1.20E-06,-9.57E-01,4.23E-09,2.84E-09,1.48E-07,-1.65E+00,7.67E-07,6.64E-09,3.46E-07,-1.905,4.30E-09,5.81E-09,7.67E-07,,4.47E-06,-7.99E-08,-9.89E-08,-4.47E-06
-1.66535,,,1.9235E-08,-1.9307,,,,-1.66535,-2.97E-09,-3.08E-09,2.52E-07,-1.93E+00,,,,-1.66535,-3.86E-09,-4.07E-09,1.27E-06,-1.93E+00,,,,-1.67E+00,1.32E-08,9.96E-09,1.22E-06,-9.70E-01,4.51E-09,2.99E-09,1.55E-07,-1.67E+00,8.22E-07,7.86E-09,3.60E-07,-1.9307,5.99E-09,3.90E-09,8.22E-07,,4.56E-06,-9.10E-08,-1.01E-07,-4.56E-06
-1.67822,,,1.8316E-08,-1.9564,,,,-1.67822,-2.33E-09,-2.52E-09,2.40E-07,-1.96E+00,,,,-1.67822,-3.49E-09,-3.79E-09,1.25E-06,-1.96E+00,,,,-1.68E+00,1.09E-08,1.07E-08,1.24E-06,-9.83E-01,4.37E-09,3.45E-09,1.63E-07,-1.68E+00,8.77E-07,8.99E-09,3.75E-07,-1.9564,1.96E-09,2.75E-09,8.77E-07,,4.65E-06,-1.02E-07,-1.03E-07,-4.65E-06
-1.69109,,,1.7516E-08,-1.9822,,,,-1.69109,-1.36E-09,-1.52E-09,2.29E-07,-1.98E+00,,,,-1.69109,-2.44E-09,-2.72E-09,1.23E-06,-1.98E+00,,,,-1.69E+00,9.76E-09,9.97E-09,1.25E-06,-9.96E-01,3.87E-09,4.17E-09,1.73E-07,-1.69E+00,9.40E-07,9.57E-09,3.93E-07,-1.9822,3.50E-09,5.14E-09,9.40E-07,,4.74E-06,-1.13E-07,-1.05E-07,-4.74E-06
-1.704,,,1.6913E-08,-2.0079,,,,-1.704,-1.33E-09,-1.97E-09,2.21E-07,-2.01E+00,,,,-1.704,-2.55E-09,-3.87E-09,1.22E-06,-2.01E+00,,,,-1.70E+00,8.64E-09,9.21E-09,1.27E-06,-1.01E+00,3.37E-09,4.89E-09,1.83E-07,-1.70E+00,9.92E-07,1.01E-08,4.10E-07,-2.0079,4.11E-09,1.97E-09,9.92E-07,,4.86E-06,-1.21E-07,-1.07E-07,-4.86E-06
-1.7168,,,1.626E-08,-2.0337,,,,-1.7168,-1.62E-09,-2.09E-09,2.12E-07,-2.03E+00,,,,-1.7168,-3.49E-09,-4.47E-09,1.20E-06,-2.03E+00,,,,-1.72E+00,7.52E-09,8.46E-09,1.28E-06,-1.02E+00,2.87E-09,5.61E-09,1.92E-07,-1.72E+00,1.02E-06,1.07E-08,4.27E-07,-2.0337,2.81E-09,2.35E-09,1.02E-06,,5.06E-06,-1.21E-07,-1.12E-07,-5.06E-06
-1.7297,,,1.5563E-08,-2.0594,,,,-1.7297,-2.13E-09,-1.96E-09,2.03E-07,-2.06E+00,,,,-1.7297,-5.01E-09,-4.66E-09,1.18E-06,-2.06E+00,,,,-1.73E+00,6.29E-09,7.40E-09,1.29E-06,-1.03E+00,2.94E-09,6.15E-09,2.01E-07,-1.73E+00,1.05E-06,1.11E-08,4.45E-07,-2.0594,1.14E-08,6.60E-09,1.05E-06,,5.26E-06,-1.22E-07,-1.17E-07,-5.26E-06
-1.7426,,,1.4811E-08,-2.0851,,,,-1.7426,-1.88E-09,-2.11E-09,1.92E-07,-2.09E+00,,,,-1.7426,-4.94E-09,-5.59E-09,1.15E-06,-2.09E+00,,,,-1.74E+00,4.92E-09,5.98E-09,1.30E-06,-1.05E+00,3.12E-09,6.66E-09,2.09E-07,-1.74E+00,1.12E-06,1.11E-08,4.63E-07,-2.0851,1.22E-08,9.93E-09,1.12E-06,,5.46E-06,-1.22E-07,-1.21E-07,-5.46E-06
-1.7554,,,1.4164E-08,-2.1109,,,,-1.7554,-1.56E-09,-2.06E-09,1.83E-07,-2.11E+00,,,,-1.7554,-4.51E-09,-5.93E-09,1.13E-06,-2.11E+00,,,,-1.76E+00,3.55E-09,4.56E-09,1.31E-06,-1.06E+00,3.29E-09,7.17E-09,2.18E-07,-1.76E+00,1.19E-06,1.11E-08,4.81E-07,-2.1109,1.28E-08,1.28E-08,1.19E-06,,5.66E-06,-1.22E-07,-1.26E-07,-5.66E-06
-1.7683,,,1.3605E-08,-2.1366,,,,-1.7683,-1.20E-09,-1.85E-09,1.75E-07,-2.14E+00,,,,-1.7683,-3.83E-09,-5.78E-09,1.11E-06,-2.14E+00,,,,-1.77E+00,2.18E-09,3.14E-09,1.32E-06,-1.07E+00,3.66E-09,7.53E-09,2.26E-07,-1.77E+00,1.24E-06,1.11E-08,4.98E-07,-2.1366,1.15E-08,1.15E-08,1.24E-06,,5.86E-06,-1.22E-07,-1.30E-07,-5.86E-06
-1.7812,,,1.3008E-08,-2.1624,,,,-1.7812,-1.44E-09,-1.78E-09,1.67E-07,-2.16E+00,,,,-1.7812,-4.86E-09,-5.95E-09,1.08E-06,-2.16E+00,,,,-1.78E+00,1.11E-09,1.66E-09,1.32E-06,-1.09E+00,4.98E-09,7.12E-09,2.38E-07,-1.78E+00,1.28E-06,1.18E-08,5.23E-07,-2.1624,9.83E-09,9.86E-09,1.28E-06,,6.06E-06,-1.23E-07,-1.35E-07,-6.06E-06
-1.7941,,,1.2456E-08,-2.1881,,,,-1.7941,-1.47E-09,-1.63E-09,1.59E-07,-2.19E+00,,,,-1.7941,-5.21E-09,-5.84E-09,1.05E-06,-2.19E+00,,,,-1.79E+00,1.46E-10,1.68E-10,1.32E-06,-1.10E+00,6.30E-09,6.71E-09,2.49E-07,-1.79E+00,1.31E-06,1.27E-08,5.50E-07,-2.1881,7.10E-09,7.06E-09,1.31E-06,,6.24E-06,-1.23E-07,-1.32E-07,-6.24E-06
-1.8069,,,1.1944E-08,-2.2139,,,,-1.8069,-1.31E-09,-1.41E-09,1.51E-07,-2.21E+00,,,,-1.8069,-4.94E-09,-5.48E-09,1.02E-06,-2.21E+00,,,,-1.81E+00,-8.22E-10,-1.33E-09,1.32E-06,-1.11E+00,7.63E-09,6.29E-09,2.60E-07,-1.81E+00,1.33E-06,1.36E-08,5.77E-07,-2.2139,4.41E-09,4.34E-09,1.33E-06,,6.40E-06,-1.24E-07,-1.22E-07,-6.40E-06
-1.8198,,,1.1423E-08,-2.2396,,,,-1.8198,-1.46E-09,-1.20E-09,1.44E-07,-2.24E+00,,,,-1.8198,-5.97E-09,-4.88E-09,9.92E-07,-2.24E+00,,,,-1.82E+00,-1.78E-09,-2.76E-09,1.32E-06,-1.13E+00,8.19E-09,6.16E-09,2.73E-07,-1.82E+00,1.34E-06,1.43E-08,6.03E-07,-2.2396,1.83E-09,1.81E-09,1.34E-06,,6.56E-06,-1.25E-07,-1.12E-07,-6.56E-06
-1.8327,,,1.0991E-08,-2.2653,,,,-1.8327,-1.55E-09,-9.50E-10,1.37E-07,-2.27E+00,,,,-1.8327,-6.71E-09,-4.07E-09,9.66E-07,-2.27E+00,,,,-1.83E+00,-2.54E-09,-3.09E-09,1.31E-06,-1.14E+00,7.95E-09,6.33E-09,2.89E-07,-1.83E+00,1.34E-06,1.27E-08,6.31E-07,-2.2653,-7.30E-10,-8.37E-10,1.34E-06,,6.73E-06,-1.25E-07,-1.02E-07,-6.72E-06
-1.8455,,,1.0645E-08,-2.2911,,,,-1.8455,-1.59E-09,-6.76E-10,1.32E-07,-2.29E+00,,,,-1.8455,-7.20E-09,-3.04E-09,9.43E-07,-2.29E+00,,,,-1.85E+00,-3.29E-09,-3.42E-09,1.31E-06,-1.15E+00,7.70E-09,6.50E-09,3.04E-07,-1.85E+00,1.34E-06,1.10E-08,6.59E-07,-2.2911,-3.25E-09,-3.63E-09,1.34E-06,,6.89E-06,-1.26E-07,-9.18E-08,-6.88E-06
-1.8584,,,1.0243E-08,-2.3168,,,,-1.8584,-1.19E-09,-9.71E-10,1.26E-07,-2.32E+00,,,,-1.8584,-5.59E-09,-4.51E-09,9.15E-07,-2.32E+00,,,,-1.86E+00,-4.05E-09,-3.75E-09,1.30E-06,-1.16E+00,7.46E-09,6.67E-09,3.19E-07,-1.86E+00,1.33E-06,9.41E-09,6.86E-07,-2.3168,-5.03E-09,-5.50E-09,1.33E-06,,7.14E-06,-1.08E-07,-8.06E-08,-7.14E-06
-1.8713,,,9.8633E-09,-2.3426,,,,-1.8713,-1.09E-09,-1.19E-09,1.20E-07,-2.34E+00,,,,-1.8713,-5.36E-09,-5.79E-09,8.87E-07,-2.34E+00,,,,-1.87E+00,-4.21E-09,-3.97E-09,1.29E-06,-1.18E+00,5.92E-09,5.57E-09,3.33E-07,-1.87E+00,1.31E-06,8.14E-09,7.11E-07,-2.3426,-6.17E-09,-6.55E-09,1.31E-06,,7.39E-06,-8.90E-08,-6.93E-08,-7.39E-06
-1.8842,,,9.506E-09,-2.3683,,,,-1.8842,-1.28E-09,-1.34E-09,1.15E-07,-2.37E+00,,,,-1.8842,-6.57E-09,-6.86E-09,8.60E-07,-2.37E+00,,,,-1.88E+00,-3.29E-09,-3.97E-09,1.28E-06,-1.19E+00,4.06E-09,4.16E-09,3.47E-07,-1.88E+00,1.28E-06,7.53E-09,7.29E-07,-2.3683,-8.14E-09,-7.73E-09,1.28E-06,,7.65E-06,-9.48E-08,-4.47E-08,-7.65E-06
-1.897,,,9.1527E-09,-2.3941,,,,-1.897,-1.28E-09,-1.01E-09,1.09E-07,-2.39E+00,,,,-1.897,-6.87E-09,-5.34E-09,8.31E-07,-2.39E+00,,,,-1.90E+00,-2.36E-09,-3.98E-09,1.27E-06,-1.20E+00,2.68E-09,3.50E-09,3.61E-07,-1.90E+00,1.23E-06,6.92E-09,7.48E-07,-2.3941,-1.06E-08,-8.98E-09,1.23E-06,,7.91E-06,-1.09E-07,-1.54E-08,-7.91E-06
-1.9099,,,8.7976E-09,-2.4198,,,,-1.9099,-1.11E-09,-8.25E-10,1.03E-07,-2.42E+00,,,,-1.9099,-6.13E-09,-4.58E-09,8.00E-07,-2.42E+00,,,,-1.91E+00,-2.96E-09,-3.10E-09,1.25E-06,-1.22E+00,2.31E-09,4.12E-09,3.76E-07,-1.91E+00,1.19E-06,5.00E-09,7.81E-07,-2.4198,-1.36E-08,-9.83E-09,1.19E-06,,8.17E-06,-1.14E-07,-1.57E-08,-8.17E-06
-1.9228,,,8.4402E-09,-2.4455,,,,-1.9228,-7.36E-10,-8.17E-10,9.77E-08,-2.45E+00,,,,-1.9228,-4.26E-09,-4.71E-09,7.67E-07,-2.45E+00,,,,-1.92E+00,-3.77E-09,-2.68E-09,1.23E-06,-1.23E+00,2.62E-09,3.74E-09,3.91E-07,-1.92E+00,1.14E-06,4.02E-09,8.08E-07,-2.4455,-1.68E-08,-1.06E-08,1.14E-06,,8.44E-06,-1.07E-07,-4.86E-08,-8.43E-06
-1.9356,,,8.1825E-09,-2.4713,,,,-1.9356,-2.83E-10,-4.85E-12,9.35E-08,-2.47E+00,,,,-1.9356,-1.70E-09,-2.02E-11,7.42E-07,-2.47E+00,,,,-1.94E+00,-4.25E-09,-3.71E-09,1.21E-06,-1.24E+00,3.07E-09,3.64E-09,4.08E-07,-1.94E+00,1.10E-06,5.17E-09,8.33E-07,-2.4713,-1.56E-08,-1.43E-08,1.10E-06,,8.70E-06,-9.19E-08,-8.24E-08,-8.69E-06
-1.9485,,,7.9676E-09,-2.497,,,,-1.9485,-3.29E-10,-2.98E-10,8.98E-08,-2.50E+00,,,,-1.9485,-2.03E-09,-1.82E-09,7.20E-07,-2.50E+00,,,,-1.95E+00,-3.62E-09,-4.98E-09,1.19E-06,-1.25E+00,3.92E-09,2.72E-09,4.22E-07,-1.95E+00,1.06E-06,6.67E-09,8.61E-07,-2.497,-1.35E-08,-1.86E-08,1.06E-06,,8.95E-06,-4.70E-08,-1.19E-07,-8.95E-06
-1.9614,,,7.7805E-09,-2.5228,,,,-1.9614,-3.16E-10,-3.34E-10,8.66E-08,-2.52E+00,,,,-1.9614,-1.99E-09,-2.10E-09,7.00E-07,-2.52E+00,,,,-1.96E+00,-1.65E-10,-2.27E-10,1.17E-06,-1.27E+00,1.10E-09,4.63E-09,4.48E-07,-1.96E+00,9.70E-07,3.04E-10,8.87E-07,-2.5228,-1.28E-08,-1.11E-08,9.70E-07,,9.21E-06,-2.14E-09,-1.56E-07,-9.20E-06
-1.9743,,,7.5247E-09,-2.5485,,,,-1.9743,-3.37E-11,-3.02E-10,8.21E-08,-2.55E+00,,,,-1.9743,-2.17E-10,-1.95E-09,6.72E-07,-2.55E+00,,,,-1.97E+00,-3.01E-09,-4.26E-09,1.14E-06,-1.28E+00,3.19E-09,2.29E-09,4.63E-07,-1.97E+00,9.34E-07,5.04E-09,9.23E-07,-2.5485,-8.69E-09,-7.61E-09,9.34E-07,,9.98E-06,-1.28E-07,-1.30E-07,-9.97E-06
-1.9871,,,7.3141E-09,-2.5743,,,,-1.9871,-1.94E-10,-1.02E-10,7.84E-08,-2.57E+00,,,,-1.9871,-1.27E-09,-6.76E-10,6.47E-07,-2.57E+00,,,,-1.99E+00,-3.06E-09,-4.30E-09,1.12E-06,-1.29E+00,4.18E-09,7.07E-10,4.82E-07,-1.99E+00,8.69E-07,4.92E-09,9.51E-07,-2.5743,-1.55E-08,-1.47E-08,8.69E-07,,1.02E-05,-1.27E-07,-1.29E-07,-1.02E-05
-2,,,7.144E-09,-2.6,,,,-2,-6.04E-10,-5.25E-10,7.52E-08,-2.60E+00,,,,-2,-4.12E-09,-3.58E-09,6.26E-07,-2.60E+00,,,,-2.00E+00,-3.39E-09,-3.15E-09,1.10E-06,-1.31E+00,4.71E-09,4.76E-09,5.04E-07,-2.00E+00,8.02E-07,3.52E-09,9.77E-07,-2.6,-1.91E-08,-1.87E-08,8.02E-07,,1.05E-05,-1.29E-07,-1.19E-07,-1.05E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3194,5.88E-09,6.04E-09,5.31E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3323,7.58E-09,5.82E-09,5.58E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3453,9.33E-09,5.42E-09,5.84E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3582,9.33E-09,5.66E-09,6.06E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3711,8.33E-09,6.27E-09,6.24E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3841,7.20E-09,6.33E-09,6.46E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.397,4.88E-09,5.63E-09,6.74E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.41,3.19E-10,5.44E-09,7.04E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4229,3.53E-09,4.05E-09,7.27E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4358,7.09E-09,5.95E-10,7.47E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4488,4.67E-09,5.50E-09,7.84E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4617,5.82E-09,4.82E-09,8.07E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4746,6.61E-09,4.47E-09,8.34E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4876,7.23E-09,3.89E-09,8.58E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5005,3.58E-09,2.23E-09,8.77E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5134,6.86E-09,7.14E-09,9.03E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5264,1.07E-08,1.26E-08,9.29E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5393,1.30E-08,1.59E-08,9.58E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5522,1.35E-08,1.67E-08,9.91E-07,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5652,1.40E-08,1.74E-08,1.02E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5781,1.44E-08,1.82E-08,1.06E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.591,1.58E-08,1.59E-08,1.09E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.604,1.75E-08,1.28E-08,1.11E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6169,1.91E-08,9.72E-09,1.14E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6299,2.03E-08,7.05E-09,1.16E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6428,1.77E-08,8.11E-09,1.18E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6557,1.52E-08,9.17E-09,1.20E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6687,1.26E-08,1.02E-08,1.22E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6816,1.06E-08,1.05E-08,1.24E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6945,9.46E-09,9.77E-09,1.26E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7075,8.34E-09,9.01E-09,1.27E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7204,7.21E-09,8.25E-09,1.29E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7333,5.90E-09,7.00E-09,1.30E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7463,4.53E-09,5.57E-09,1.30E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7592,3.15E-09,4.15E-09,1.31E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7721,1.79E-09,2.71E-09,1.32E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7851,8.21E-10,1.21E-09,1.32E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.798,-1.51E-10,-2.91E-10,1.32E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8109,-1.12E-09,-1.79E-09,1.32E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8239,-2.02E-09,-2.86E-09,1.32E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8368,-2.78E-09,-3.20E-09,1.31E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8498,-3.54E-09,-3.53E-09,1.30E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8627,-4.30E-09,-3.86E-09,1.29E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8756,-3.90E-09,-3.97E-09,1.28E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8886,-2.97E-09,-3.98E-09,1.27E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9015,-2.44E-09,-3.75E-09,1.26E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9144,-3.24E-09,-2.75E-09,1.24E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9274,-4.06E-09,-2.63E-09,1.23E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9403,-4.26E-09,-4.67E-09,1.21E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9532,-2.36E-09,-3.24E-09,1.19E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9662,-3.13E-09,-3.72E-09,1.16E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9791,-2.96E-09,-4.50E-09,1.13E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.992,-3.12E-09,-4.18E-09,1.11E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.005,-3.62E-09,-2.29E-09,1.09E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0179,-2.41E-09,-1.21E-09,1.07E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0308,-1.86E-09,-1.78E-09,1.06E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0438,-6.17E-09,-4.03E-09,1.04E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0567,-1.05E-08,-6.28E-09,1.03E-06,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0697,-1.23E-08,-8.64E-09,9.93E-07,,,,,,,,,,,,,
